Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"PgUp1","MX-LED","MXOnly-1U-Hotswap",347.665000,57.135000,0.000000,top
"Q1","MX-LED","MXOnly-1U-Hotswap",90.490000,76.185000,0.000000,top
"QuestionMark1","MX-LED","MXOnly-1U-Hotswap",276.227500,38.085000,0.000000,top
"Quote1","MX-LED","MXOnly-1U-Hotswap",285.752500,57.135000,0.000000,top
"R1","MX-LED","MXOnly-1U-Hotswap",147.640000,76.185000,0.000000,top
"RIGHTALT1","MX-LED","MXOnly-1U-Hotswap",252.415000,19.035000,0.000000,top
"RIGHTARROW1","MX-LED","MXOnly-1U-Hotswap",347.665000,19.035000,0.000000,top
"RIGHTCONTROL1","MX-LED","MXOnly-1U-Hotswap",290.515000,19.035000,0.000000,top
"RIGHTSHIFT1","MX-LED","MXOnly-1.75U-Hotswap",302.402500,38.085000,0.000000,top
"S1","MX-LED","MXOnly-1U-Hotswap",114.302500,57.135000,0.000000,top
"SPACEBAR1","MX-LED","MXOnly-6.25U-Hotswap",183.340000,19.035000,0.000000,top
"SW3","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",16.565000,126.310000,0.000000,top
"Semicolon1","MX-LED","MXOnly-1U-Hotswap",266.702500,57.135000,0.000000,top
"Slash1","MX-LED","MXOnly-1.5U-Hotswap",323.852500,76.185000,0.000000,top
"T1","MX-LED","MXOnly-1U-Hotswap",166.690000,76.185000,0.000000,top
"Tab1","MX-LED","MXOnly-1.5U-Hotswap",66.677500,76.185000,0.000000,top
"U2","MX-LED","MXOnly-1U-Hotswap",204.790000,76.185000,0.000000,top
"UPARROW1","MX-LED","MXOnly-1U-Hotswap",328.615000,38.085000,0.000000,top
"V1","MX-LED","MXOnly-1U-Hotswap",161.927500,38.085000,0.000000,top
"W1","MX-LED","MXOnly-1U-Hotswap",109.540000,76.185000,0.000000,top
"WINDOWSKEY1","MX-LED","MXOnly-1.25U-Hotswap",88.090000,19.035000,0.000000,top
"X1","MX-LED","MXOnly-1U-Hotswap",123.827500,38.085000,0.000000,top
"Y1","MX-LED","MXOnly-1U-Hotswap",185.740000,76.185000,0.000000,top
"Z1","MX-LED","MXOnly-1U-Hotswap",104.777500,38.085000,0.000000,top
